intern_role,department,internship_batch,github_repo_count,github_stars_total,num_projects,tools_used_count,portfolio_readiness_score
Front End Development Intern,Engineering,,,,0,2,38.2
Web Development Intern,Engineering,,,,9,13,100.0
HR/Operations Intern,HR/Operations,,,,0,1,46.0
Data Analytics Intern,Data,,,,0,2,45.6
HR/Operations Intern,HR/Operations,,,,0,1,35.0
General Intern,General,,,,0,0,29.3
Data Analytics Intern,Data,,,,0,10,78.7
General Intern,General,,,,0,0,19.4
Web Development Intern,Engineering,,,,0,11,70.9
HR/Operations Intern,HR/Operations,,,,1,4,52.6
General Intern,General,,,,0,0,19.4
Data Analytics Intern,Data,,,,0,3,27.7
Front End Development Intern,Engineering,,,,1,1,43.6
Data Analytics Intern,Data,,,,0,2,38.2
Front End Development Intern,Engineering,,,,0,2,31.2
General Intern,General,,,,0,0,19.4
Web Development Intern,Engineering,,,,0,5,40.6
Content Writing Intern,Content,,,,1,4,52.6
Front End Development Intern,Engineering,,,,1,5,59.1
Data Analytics Intern,Data,,,,0,11,69.5
General Intern,General,,,,0,0,40.2
General Intern,General,,,,0,0,19.4
General Intern,General,,,,0,0,29.3
General Intern,General,,,,0,0,29.7
Data Analytics Intern,Data,,,,0,4,47.9
Web Development Intern,Engineering,,,,1,6,56.6
Web Development Intern,Engineering,,,,1,13,78.4
Data Analytics Intern,Data,,,,0,10,83.0
General Intern,General,,,,0,0,36.3
Back End Developer Intern,Engineering,,,,0,9,63.6
Data Analytics Intern,Data,,,,0,6,66.9
General Intern,General,,,,0,0,19.4
General Intern,General,,,,0,0,36.8
Front End Development Intern,Engineering,,,,0,1,30.6
General Intern,General,,,,0,0,19.4
General Intern,General,,,,0,0,36.8
Data Analytics Intern,Data,,,,0,3,47.4
Data Analytics Intern,Data,,,,0,2,42.1
HR/Operations Intern,HR/Operations,,,,0,8,67.1
General Intern,General,,,,0,0,19.4
General Intern,General,,,,0,0,19.4
General Intern,General,,,,0,0,19.4
Front End Development Intern,Engineering,,,,0,2,49.7
General Intern,General,,,,0,0,19.4
Social Media Management Intern,Marketing,,,,0,4,49.0
Web Development Intern,Engineering,,,,5,14,94.2
Digital Marketing Intern,Marketing,,,,1,1,50.6
General Intern,General,,,,0,0,19.4
Data Analytics Intern,Data,,,,1,6,54.4
Data Analytics Intern,Data,,,,1,15,87.6
Digital Marketing Intern,Marketing,,,,0,2,34.4
Digital Marketing Intern,Marketing,,,,0,1,34.4
Web Development Intern,Engineering,,,,0,4,42.6
Web Development Intern,Engineering,,,,1,6,62.9
Data Analytics Intern,Data,,,,0,10,69.0
Front End Development Intern,Engineering,,,,0,3,42.0
Front End Development Intern,Engineering,,,,1,3,56.1
Front End Development Intern,Engineering,,,,0,2,38.5
Web Development Intern,Engineering,,,,0,2,38.2
HR/Operations Intern,HR/Operations,,,,0,1,42.0
Front End Development Intern,Engineering,,,,1,2,50.3
Front End Development Intern,Engineering,,,,0,3,47.1
Front End Development Intern,Engineering,,,,1,4,42.2
Data Analytics Intern,Data,,,,0,3,38.5
Data Analytics Intern,Data,,,,1,5,63.2
Data Analytics Intern,Data,,,,0,4,51.4
Data Analytics Intern,Data,,,,1,6,47.9
Social Media Management Intern,Marketing,,,,1,7,66.3
Front End Development Intern,Engineering,,,,1,5,70.2
HR/Operations Intern,HR/Operations,,,,0,5,55.5
HR/Operations Intern,HR/Operations,,,,0,1,41.4
Data Analytics Intern,Data,,,,0,6,58.8
Digital Marketing Intern,Marketing,,,,0,2,34.4
General Intern,General,,,,0,0,29.0
General Intern,General,,,,0,0,26.0
Front End Development Intern,Engineering,,,,0,2,42.1
General Intern,General,,,,0,0,32.8
Sales & Marketing Intern,Sales,,,,0,1,37.9
Content Writing Intern,Content,,,,0,1,38.2
Front End Development Intern,Engineering,,,,0,1,27.1
General Intern,General,,,,0,0,19.4
General Intern,General,,,,0,0,29.0
General Intern,General,,,,0,0,19.4
General Intern,General,,,,0,0,25.8
General Intern,General,,,,0,0,19.4
Front End Development Intern,Engineering,,,,0,1,30.9
Front End Development Intern,Engineering,,,,1,1,51.2
Front End Development Intern,Engineering,,,,0,1,41.4
General Intern,General,,,,0,0,19.4
Data Analytics Intern,Data,,,,1,11,63.0
Front End Development Intern,Engineering,,,,0,4,38.7
Digital Marketing Intern,Marketing,,,,1,5,57.1
Content Writing Intern,Content,,,,0,4,43.9
Front End Development Intern,Engineering,,,,0,2,34.7
Front End Development Intern,Engineering,,,,6,15,100.0
Front End Development Intern,Engineering,,,,0,1,45.5
General Intern,General,,,,0,0,19.4
Web Development Intern,Engineering,,,,0,4,56.6
Data Analytics Intern,Data,,,,1,8,76.3
Data Analytics Intern,Data,,,,0,2,51.3
General Intern,General,,,,0,0,22.0
HR/Operations Intern,HR/Operations,,,,0,3,47.1
Web Development Intern,Engineering,,,,1,6,60.9
General Intern,General,,,,0,0,25.5
Front End Development Intern,Engineering,,,,1,1,41.6
Front End Development Intern,Engineering,,,,0,1,42.0
Data Analytics Intern,Data,,,,0,2,39.5
Front End Development Intern,Engineering,,,,0,1,37.9
Digital Marketing Intern,Marketing,,,,0,3,34.7
General Intern,General,,,,0,0,32.8
General Intern,General,,,,0,0,25.8
Social Media Management Intern,Marketing,,,,1,7,58.2
Graphic Design Intern,Design,,,,1,8,61.8
Data Analytics Intern,Data,,,,0,2,50.7
General Intern,General,,,,0,0,36.7
HR/Operations Intern,HR/Operations,,,,0,1,38.2
General Intern,General,,,,0,0,19.4
Data Analytics Intern,Data,,,,0,1,45.5
General Intern,General,,,,0,0,36.8
Data Analytics Intern,Data,,,,0,2,47.4
Front End Development Intern,Engineering,,,,0,1,49.5
Front End Development Intern,Engineering,,,,0,1,34.1
Front End Development Intern,Engineering,,,,0,6,61.8
Front End Development Intern,Engineering,,,,0,3,46.0
Web Development Intern,Engineering,,,,0,12,68.2
General Intern,General,,,,0,0,36.8
HR/Operations Intern,HR/Operations,,,,0,3,47.6
Web Development Intern,Engineering,,,,1,3,43.2
Data Analytics Intern,Data,,,,0,4,42.1
Data Analytics Intern,Data,,,,1,16,76.9
Front End Development Intern,Engineering,,,,0,13,67.5
Web Development Intern,Engineering,,,,0,8,70.1
Front End Development Intern,Engineering,,,,0,2,45.6
Data Analytics Intern,Data,,,,4,14,100.0
Front End Development Intern,Engineering,,,,0,10,67.9
Front End Development Intern,Engineering,,,,0,2,31.2
General Intern,General,,,,0,0,32.8
General Intern,General,,,,0,0,32.8
Graphic Design Intern,Design,,,,1,5,53.0
Data Analytics Intern,Data,,,,0,4,42.6
Front End Development Intern,Engineering,,,,0,4,53.0
Data Analytics Intern,Data,,,,0,4,54.5
Back End Developer Intern,Engineering,,,,0,15,77.3
Data Analytics Intern,Data,,,,1,2,45.2
Data Analytics Intern,Data,,,,0,3,47.6
HR/Operations Intern,HR/Operations,,,,0,1,37.9
Back End Developer Intern,Engineering,,,,1,10,64.4
General Intern,General,,,,0,0,19.4
General Intern,General,,,,0,0,19.4
General Intern,General,,,,0,0,19.4
Back End Developer Intern,Engineering,,,,1,8,66.5
Front End Development Intern,Engineering,,,,1,10,74.5
Web Development Intern,Engineering,,,,0,4,36.8
General Intern,General,,,,0,1,37.0
General Intern,General,,,,0,0,24.0
General Intern,General,,,,0,0,29.3
Social Media Management Intern,Marketing,,,,0,9,57.6
Data Analytics Intern,Data,,,,0,6,65.9
General Intern,General,,,,0,0,29.0
Web Development Intern,Engineering,,,,0,3,45.9
Front End Development Intern,Engineering,,,,0,5,61.7
General Intern,General,,,,0,0,20.2
Front End Development Intern,Engineering,,,,0,6,65.9
Graphic Design Intern,Design,,,,1,10,66.5
Data Analytics Intern,Data,,,,0,11,63.0
Front End Development Intern,Engineering,,,,0,3,40.1
General Intern,General,,,,0,0,32.8
Data Analytics Intern,Data,,,,1,3,34.4
General Intern,General,,,,0,0,40.4
General Intern,General,,,,0,0,40.4
General Intern,General,,,,0,0,19.4
Data Analytics Intern,Data,,,,0,2,39.8
Front End Development Intern,Engineering,,,,0,2,31.2
Data Analytics Intern,Data,,,,0,12,72.2
Front End Development Intern,Engineering,,,,1,3,50.6
